Crop,Crop_Year,Season,State/UT,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arhar/Tur,1997,Monsoon,Meghalaya,865.0,683.0,2681.1,82322.05,268.15,0.806666667
Banana,1997,Whole Year,Meghalaya,5239.0,63011.0,2681.1,498595.63,1624.09,5.42072281
Castor Seed,1997,Winter,Meghalaya,30.0,15.0,2681.1,2855.1,9.3,0.49
Cotton (Lint),1997,Monsoon,Meghalaya,7544.0,5590.0,2681.1,717962.48,2338.64,0.796666667
Dry Chillies,1997,Whole Year,Meghalaya,1766.0,1106.0,2681.1,168070.22,547.46,0.64
Ginger,1997,Monsoon,Meghalaya,7357.0,45260.0,2681.1,700165.69,2280.67,5.42072281
Gram,1997,Winter,Meghalaya,443.0,270.0,2681.1,42160.31,137.33,0.613333333
Jute,1997,Monsoon,Meghalaya,4243.0,34683.0,2681.1,403806.31,1315.33,5.42072281
Linseed,1997,Monsoon,Meghalaya,50.0,22.0,2681.1,4758.5,15.5,0.44
Maize,1997,Monsoon,Meghalaya,17175.0,24878.0,2681.1,1634544.75,5324.25,1.444285714
Mesta,1997,Monsoon,Meghalaya,4688.0,21558.0,2681.1,446156.96,1453.28,4.68
Mesta,1997,Whole Year,Meghalaya,861.0,713.0,2681.1,81941.37,266.91,0.7525
Potato,1997,Whole Year,Meghalaya,20764.0,200509.0,2681.1,1976109.88,6436.84,5.42072281
Rapeseed & Mustard,1997,Winter,Meghalaya,6914.0,4467.0,2681.1,658005.38,2143.34,0.608571429
Rice,1997,Monsoon,Meghalaya,105170.0,150101.0,2681.1,10009028.9,32602.7,1.378571429
Sesamum,1997,Monsoon,Meghalaya,1326.0,688.0,2681.1,126195.42,411.06,0.575714286
Small Millets,1997,Monsoon,Meghalaya,2804.0,2237.0,2681.1,266856.68,869.24,0.861428571
Soyabean,1997,Monsoon,Meghalaya,898.0,814.0,2681.1,85462.66,278.38,0.921428571
Sugarcane,1997,Whole Year,Meghalaya,82.0,225.0,2681.1,7803.94,25.42,2.352
Sweet Potato,1997,Whole Year,Meghalaya,5212.0,16978.0,2681.1,496026.04,1615.72,3.221428571
Tapioca,1997,Whole Year,Meghalaya,3959.0,21087.0,2681.1,376778.03,1227.29,5.42072281
Tobacco,1997,Winter,Meghalaya,742.0,505.0,2681.1,70616.14,230.02,0.618
Turmeric,1997,Whole Year,Meghalaya,1401.0,7126.0,2681.1,133333.17,434.31,5.42072281
Wheat,1997,Winter,Meghalaya,4287.0,6894.0,2681.1,407993.79,1328.97,1.385
Arecanut,1997,Whole Year,West Bengal,8058.0,12423.0,1852.9,766879.86,2497.98,1.691764706
Arhar/Tur,1997,Whole Year,West Bengal,3630.0,2181.0,1852.9,345467.1,1125.3,0.777692308
Bajra,1997,Monsoon,West Bengal,207.0,95.0,1852.9,19700.19,64.17,0.426666667
Barley,1997,Whole Year,West Bengal,6116.0,5034.0,1852.9,582059.72,1895.96,1.68
Cardamom,1997,Whole Year,West Bengal,2674.0,7.0,1852.9,254484.58,828.94,0.0
Castor Seed,1997,Whole Year,West Bengal,660.0,46.0,1852.9,62812.2,204.6,0.07
Coconut,1997,Whole Year,West Bengal,24273.0,339962.5,1852.9,2310061.41,7524.63,5.42072281
Cotton (Lint),1997,Monsoon,West Bengal,26000.0,52000.0,1852.9,2474420.0,8060.0,2.0
Dry Chillies,1997,Whole Year,West Bengal,64034.0,55569.0,1852.9,6094115.78,19850.54,0.942777778
Gram,1997,Winter,West Bengal,25485.0,16994.0,1852.9,2425407.45,7900.35,0.5975
Groundnut,1997,Whole Year,West Bengal,29615.0,38672.0,1852.9,2818459.55,9180.65,1.13
Horse-Gram,1997,Monsoon,West Bengal,5645.0,2556.0,1852.9,537234.65,1749.95,0.438888889
Jowar,1997,Whole Year,West Bengal,948.0,450.0,1852.9,90221.16,293.88,0.482
Jute,1997,Monsoon,West Bengal,202534.5,339962.5,1852.9,26583568.25,52935.74,5.42072281
Khesari,1997,Winter,West Bengal,25261.0,28460.0,1852.9,2404089.37,7830.91,1.095882353
Linseed,1997,Whole Year,West Bengal,16486.0,4210.0,1852.9,1568972.62,5110.66,0.251538462
Maize,1997,Whole Year,West Bengal,35469.0,130390.0,1852.9,3375584.73,10995.39,2.658461538
Masoor,1997,Winter,West Bengal,51202.0,35040.0,1852.9,4872894.34,15872.62,0.662352941
Mesta,1997,Monsoon,West Bengal,9689.0,89000.0,1852.9,922102.13,3003.59,5.42072281
Moong (Green Gram),1997,Monsoon,West Bengal,1490.0,711.0,1852.9,141803.3,461.9,0.548888889
Moong (Green Gram),1997,Winter,West Bengal,3269.0,1710.0,1852.9,311110.73,1013.39,0.542857143
Moong (Green Gram),1997,Summer,West Bengal,9959.0,303.0,1852.9,947798.03,3087.29,0.046
Niger Seed,1997,Winter,West Bengal,202534.5,339962.5,1852.9,26583568.25,52935.74,0.698888889
Niger Seed,1997,Whole Year,West Bengal,6512.0,3522.0,1852.9,619747.04,2018.72,0.40375
Potato,1997,Whole Year,West Bengal,202534.5,339962.5,1852.9,26583568.25,52935.74,5.42072281
Ragi,1997,Autumn,West Bengal,12607.0,15330.0,1852.9,1199808.19,3908.17,0.986
Rapeseed & Mustard,1997,Whole Year,West Bengal,202534.5,250950.0,1852.9,26583568.25,52935.74,0.718333333
Rice,1997,Autumn,West Bengal,202534.5,339962.5,1852.9,26583568.25,52935.74,1.837222222
Rice,1997,Summer,West Bengal,202534.5,339962.5,1852.9,26583568.25,52935.74,2.843888889
Rice,1997,Winter,West Bengal,202534.5,339962.5,1852.9,26583568.25,52935.74,1.985555556
Safflower,1997,Whole Year,West Bengal,10800.0,3000.0,1852.9,1027836.0,3348.0,0.2975
Sannhamp,1997,Whole Year,West Bengal,2015.0,9073.0,1852.9,191767.55,624.65,4.598571429
Sesamum,1997,Whole Year,West Bengal,127913.0,88943.0,1852.9,12173480.21,39653.03,0.649444444
Small Millets,1997,Whole Year,West Bengal,5046.0,3222.0,1852.9,480227.82,1564.26,0.626666667
Soyabean,1997,Monsoon,West Bengal,1555.0,1172.0,1852.9,147989.35,482.05,1.196666667
Sugarcane,1997,Whole Year,West Bengal,25797.0,339962.5,1852.9,2455100.49,7997.07,5.42072281
Sunflower,1997,Whole Year,West Bengal,278.0,1.0,1852.9,26457.26,86.18,0.0
Turmeric,1997,Whole Year,West Bengal,12481.0,23556.0,1852.9,1187816.77,3869.11,1.661111111
Urad,1997,Monsoon,West Bengal,69271.0,44480.0,1852.9,6592521.07,21474.01,1.825
